Bowler,MATCHES,OVERS,WKTS,SR
Amit Singh,5,17.3,9,11.67
Yusuf Abdulla,9,28.0,14,12.00
Rohit Sharma,16,23.0,11,12.55
Rajat Bhatia,8,21.4,10,13.00
Munaf Patel,11,34.5,16,13.06
Shadab Jakati,9,29.0,13,13.38
RP Singh,16,59.4,23,15.57
Ashish Nehra,13,51.0,19,16.11
Sanath Jayasuriya,12,19.0,7,16.29
Lasith Malinga,13,49.3,18,16.50
Anil Kumble,16,59.1,21,16.90
Brad Hodge,12,20.0,7,17.14
Lakshmipathy Balaji,13,37.2,13,17.23
Kamran Khan,5,17.4,6,17.67
Irfan Pathan,14,50.2,17,17.76
