Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Anil Kumble,Rajasthan Royals,3.1,5,5,5-5,1,1.61
Rohit Sharma,Mumbai Indians,2.0,6,4,4-6,0,3.00
Rajat Bhatia,Deccan Chargers,2.4,15,4,4-15,0,6.25
Anil Kumble,Deccan Chargers,4.0,16,4,4-16,0,4.00
Harbhajan Singh,Delhi Capitals,4.0,17,4,4-17,0,4.25
Amit Singh,Royal Challengers Bengaluru,4.0,19,4,4-19,0,4.75
Lakshmipathy Balaji,Rajasthan Royals,3.3,21,4,4-21,0,6.36
RP Singh,Kolkata Knight Riders,3.4,22,4,4-22,0,6.47
Shadab Jakati,Deccan Chargers,4.0,22,4,4-22,0,5.50
Shadab Jakati,Delhi Capitals,4.0,24,4,4-24,0,6.00
Yusuf Abdulla,Royal Challengers Bengaluru,4.0,31,4,4-31,0,7.75
Yusuf Abdulla,Royal Challengers Bengaluru,4.0,36,4,4-36,1,9.00
Amit Singh,Punjab Kings,4.0,9,3,3-9,0,2.25
Muthiah Muralidaran,Royal Challengers Bengaluru,4.0,11,3,3-11,1,2.75
Lasith Malinga,Kolkata Knight Riders,2.2,11,3,3-11,0,5.00
