Batter,MATCHES,INNS,RUNS,4s
Sachin Tendulkar,15,15,618,86
Jacques Kallis,16,16,572,67
Sourav Ganguly,14,14,493,58
Mahela Jayawardene,13,13,439,55
Kumar Sangakkara,13,12,357,47
Virender Sehwag,14,14,356,47
Suresh Raina,16,16,520,45
Michael Lumb,11,11,278,45
Naman Ojha,14,14,377,42
S Badrinath,16,15,356,41
Matthew Hayden,16,16,346,37
Murali Vijay,15,15,458,36
Rohit Sharma,16,16,404,36
Andrew Symonds,16,16,429,35
Ambati Rayudu,14,14,356,34
