PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Sachin Tendulkar,15,15,618,47.54,132.62,86,3
Jacques Kallis,16,16,572,47.67,115.79,67,9
Suresh Raina,16,16,520,47.27,142.86,45,22
Sourav Ganguly,14,14,493,37.92,117.66,58,15
Murali Vijay,15,15,458,35.23,156.85,36,26
Mahela Jayawardene,13,13,439,43.90,147.32,55,11
Andrew Symonds,16,16,429,30.64,125.81,35,18
Saurabh Tiwary,16,15,419,29.93,135.60,29,18
Rohit Sharma,16,16,404,28.86,133.77,36,14
Naman Ojha,14,14,377,31.42,132.28,42,15
Robin Uthappa,16,14,374,31.17,171.56,21,27
Kumar Sangakkara,13,12,357,29.75,138.91,47,5
Ambati Rayudu,14,14,356,27.38,144.72,34,13
Virender Sehwag,14,14,356,25.43,163.30,47,14
S Badrinath,16,15,356,32.36,117.49,41,5
