Batter,MATCHES,INNS,RUNS,Avg,SR
Kieron Pollard,14,14,273,22.75,185.71
Robin Uthappa,16,14,374,31.17,171.56
Harbhajan Singh,15,7,105,26.25,166.67
Yusuf Pathan,14,14,333,27.75,165.67
Virender Sehwag,14,14,356,25.43,163.30
Shane Watson,6,5,185,37.00,162.28
Chris Gayle,9,9,292,32.44,158.70
Murali Vijay,15,15,458,35.23,156.85
Adam Gilchrist,16,16,289,18.06,156.22
Albie Morkel,14,11,198,24.75,151.15
Kevin Pietersen,7,7,236,59.00,150.32
Irfan Pathan,14,13,276,34.50,148.39
David Warner,11,11,282,28.20,147.64
Mahela Jayawardene,13,13,439,43.90,147.32
Virat Kohli,16,13,307,27.91,144.81
