Batter,MATCHES,INNS,RUNS,6s
Robin Uthappa,16,14,374,27
Murali Vijay,15,15,458,26
Yusuf Pathan,14,14,333,24
Suresh Raina,16,16,520,22
Andrew Symonds,16,16,429,18
Saurabh Tiwary,16,15,419,18
Kieron Pollard,14,14,273,17
Matthew Hayden,16,16,346,16
Chris Gayle,9,9,292,16
Adam Gilchrist,16,16,289,16
Sourav Ganguly,14,14,493,15
Naman Ojha,14,14,377,15
Rohit Sharma,16,16,404,14
Virender Sehwag,14,14,356,14
David Warner,11,11,282,14
