Batter,RUNS,Balls,SR,Vs,4s,6s
Murali Vijay,127,56,226.79,Rajasthan Royals,8,11
Mahela Jayawardene,110,59,186.44,Kolkata Knight Riders,14,3
David Warner,107,69,155.07,Kolkata Knight Riders,9,5
Yusuf Pathan,100,37,270.27,Mumbai Indians,9,8
Naman Ojha,94,55,170.91,Chennai Super Kings,8,6
Matthew Hayden,93,43,216.28,Delhi Capitals,9,7
Mahela Jayawardene,93,62,150.00,Deccan Chargers,13,2
Jacques Kallis,89,55,161.82,Punjab Kings,8,5
Sachin Tendulkar,89,59,150.85,Rajasthan Royals,10,2
Chris Gayle,88,42,209.52,Punjab Kings,6,8
Sourav Ganguly,88,54,162.96,Deccan Chargers,9,5
Shaun Marsh,88,57,154.39,Chennai Super Kings,8,5
Michael Lumb,83,43,193.02,Punjab Kings,16,2
Suresh Raina,83,52,159.62,Mumbai Indians,7,3
Naman Ojha,80,49,163.27,Chennai Super Kings,6,5
