Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Jacques Kallis,16,16,572,0,6,89
Sachin Tendulkar,15,15,618,0,5,89
Suresh Raina,16,16,520,0,4,83
Sourav Ganguly,14,14,493,0,4,88
Andrew Symonds,16,16,429,0,4,54
Saurabh Tiwary,16,15,419,0,3,61
Rohit Sharma,16,16,404,0,3,73
Robin Uthappa,16,14,374,0,3,68
Virender Sehwag,14,14,356,0,3,75
Paul Collingwood,8,7,203,0,3,75
Murali Vijay,15,15,458,0,2,127
Naman Ojha,14,14,377,1,2,94
Kumar Sangakkara,13,12,357,0,2,56
Ambati Rayudu,14,14,356,0,2,55
S Badrinath,16,15,356,0,2,55
