Batter,MATCHES,INNS,RUNS,H.S,100s
Murali Vijay,15,15,458,127,1
Mahela Jayawardene,13,13,439,110,1
Yusuf Pathan,14,14,333,100,1
David Warner,11,11,282,107,1
