POS,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,CSK,14,9,5,0,0.709,2262/273.3,2073/274.1,18,WLWLW
2,MI,14,8,6,0,-0.043,2345/272.4,2371/274.2,16,WWLWW
3,RCB,14,7,5,2,1.037,1790/191.1,1693/203.2,16,NWLWW
4,RR,14,7,5,2,0.062,2028/237.3,2002/236.1,16,WLLWL
5,KKR,14,7,6,1,0.253,2044/236.1,2022/240.4,15,LLWWW
6,SRH,14,7,7,0,-0.239,2096/255.2,2126/251.4,14,LLWWW
7,DD,14,5,8,1,-0.049,1981/250.2,1976/248.1,11,NWLLL
8,PBKS,14,3,11,0,-1.436,2003/270,2286/258.1,6,LWLLL
