POS,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,MI,14,10,4,0,1.084,2408/277,2100/276,20,LWWWL
2,DEC,14,8,6,0,-0.297,2188/277.4,2254/275.4,16,WWWWW
3,CSK,14,7,7,0,0.274,2285/271.1,2257/276.5,14,WLWLW
4,RCB,14,7,7,0,0.219,2166/260.4,2245/277.3,14,LWLWL
5,DD,14,7,7,0,0.021,2155/275.4,2166/277.5,14,LWLLL
6,KKR,14,7,7,0,-0.341,2144/273,2192/267.3,14,WWLLW
7,RR,14,6,8,0,-0.514,2179/270.4,2224/259.4,12,LLLWW
8,PBKS,14,4,10,0,-0.478,2278/276.2,2365/271.1,8,LLWWL
