Bowler,MATCHES,OVERS,WKTS,SR
Tom Curran,5,10.1,6,10.17
Chris Woakes,5,18.2,8,13.75
Ben Laughlin,7,20.5,9,13.89
Andrew Tye,14,56.0,24,14.00
Lungi Ngidi,7,26.0,11,14.18
Hardik Pandya,13,42.4,18,14.22
Ankit Rajpoot,8,26.1,11,14.27
Harshal Patel,5,17.3,7,15.00
Jofra Archer,10,38.5,15,15.53
Umesh Yadav,14,53.1,20,15.95
Prasidh Krishna,7,28.0,10,16.80
Shreyas Gopal,11,31.0,11,16.91
Mitchell McClenaghan,11,40.0,14,17.14
Andre Russell,16,37.5,13,17.46
Shardul Thakur,13,46.4,16,17.50
