PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Andrew Tye,14,56.0,336,24,18.67,448,3,0
Rashid Khan,17,68.0,408,21,21.81,458,0,0
Siddarth Kaul,17,66.0,396,21,26.05,547,0,0
Umesh Yadav,14,53.1,319,20,20.90,418,0,0
Trent Boult,14,52.4,316,18,25.89,466,0,0
Hardik Pandya,13,42.4,256,18,21.17,381,0,0
Jasprit Bumrah,14,54.0,324,17,21.88,372,0,0
Sunil Narine,16,61.0,366,17,27.47,467,0,0
Kuldeep Yadav,16,51.2,308,17,24.59,418,1,0
Shardul Thakur,13,46.4,280,16,26.94,431,0,0
Mayank Markande,14,44.0,264,15,24.53,368,1,0
Jofra Archer,10,38.5,233,15,21.67,325,0,0
Mujeeb Ur Rahman,11,41.2,248,14,20.64,289,0,0
Shakib Al Hasan,17,57.0,342,14,32.57,456,0,0
Mitchell McClenaghan,11,40.0,240,14,23.71,332,0,0
