Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Lungi Ngidi,7,26.0,7,11,6.00,14.18,14.18
Rashid Khan,17,68.0,17,21,6.74,21.81,19.43
Jasprit Bumrah,14,54.0,14,17,6.89,21.88,19.06
Mujeeb Ur Rahman,11,41.2,11,14,6.99,20.64,17.71
Krunal Pandya,14,40.1,13,12,7.07,23.67,20.08
Amit Mishra,10,37.0,10,12,7.14,22.00,18.50
Yuzvendra Chahal,14,50.0,14,12,7.26,30.25,25.00
Deepak Chahar,12,38.1,12,10,7.28,27.80,22.90
Ravindra Jadeja,16,41.0,14,11,7.39,27.55,22.36
Sandeep Sharma,12,44.0,12,12,7.57,27.75,22.00
Shreyas Gopal,11,31.0,10,11,7.58,21.36,16.91
Sunil Narine,16,61.0,16,17,7.66,27.47,21.53
Bhuvneshwar Kumar,12,46.1,12,9,7.67,39.33,30.78
Krishnappa Gowtham,15,40.0,15,11,7.80,28.36,21.82
Umesh Yadav,14,53.1,14,20,7.86,20.90,15.95
