Bowler,MATCHES,OVERS,WKTS,Avg
Lungi Ngidi,7,26.0,11,14.18
Andrew Tye,14,56.0,24,18.67
Tom Curran,5,10.1,6,19.67
Ankit Rajpoot,8,26.1,11,20.27
Mujeeb Ur Rahman,11,41.2,14,20.64
Umesh Yadav,14,53.1,20,20.90
Hardik Pandya,13,42.4,18,21.17
Shreyas Gopal,11,31.0,11,21.36
Jofra Archer,10,38.5,15,21.67
Rashid Khan,17,68.0,21,21.81
Jasprit Bumrah,14,54.0,17,21.88
Amit Mishra,10,37.0,12,22.00
Ben Laughlin,7,20.5,9,23.44
Krunal Pandya,14,40.1,12,23.67
Mitchell McClenaghan,11,40.0,14,23.71
