Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Ankit Rajpoot,Sunrisers Hyderabad,4.0,14,5,5-14,0,3.50
Lungi Ngidi,Punjab Kings,4.0,10,4,4-10,1,2.50
Andrew Tye,Mumbai Indians,4.0,16,4,4-16,0,4.00
Shreyas Gopal,Royal Challengers Bengaluru,4.0,16,4,4-16,0,4.00
Kuldeep Yadav,Rajasthan Royals,4.0,20,4,4-20,0,5.00
Mayank Markande,Sunrisers Hyderabad,4.0,23,4,4-23,0,5.75
Prasidh Krishna,Sunrisers Hyderabad,4.0,30,4,4-30,0,7.50
Andrew Tye,Rajasthan Royals,4.0,34,4,4-34,0,8.50
Andrew Tye,Kolkata Knight Riders,4.0,41,4,4-41,0,10.25
Ben Stokes,Kolkata Knight Riders,4.0,15,3,3-15,1,3.75
Jasprit Bumrah,Punjab Kings,4.0,15,3,3-15,0,3.75
Deepak Chahar,Sunrisers Hyderabad,4.0,15,3,3-15,1,3.75
Liam Plunkett,Punjab Kings,4.0,17,3,3-17,0,4.25
Ravindra Jadeja,Royal Challengers Bengaluru,4.0,18,3,3-18,0,4.50
Rahul Tewatia,Kolkata Knight Riders,3.0,18,3,3-18,0,6.00
