Bowler,MATCHES,OVERS,WKTS,SR
Andre Russell,10,19.0,11,10.36
Harshal Patel,15,56.2,32,10.56
Jason Holder,8,31.5,16,11.94
Shahbaz Ahmed,11,14.0,7,12.00
Arshdeep Singh,12,41.2,18,13.78
Lockie Ferguson,8,30.0,13,13.85
Amit Mishra,4,14.0,6,14.00
Dwayne Bravo,11,33.4,14,14.43
Anrich Nortje,8,30.2,12,15.17
Avesh Khan,16,61.0,24,15.25
Jasprit Bumrah,14,55.0,21,15.71
Chris Morris,11,41.0,15,16.40
Mohammed Shami,14,52.4,19,16.63
Shardul Thakur,16,59.5,21,17.10
Nathan Coulter-Nile,5,20.0,7,17.14
