Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Harshal Patel,15,56.2,459,32,1,1
Arshdeep Singh,12,41.2,342,18,0,1
Andre Russell,10,19.0,188,11,0,1
