Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Anrich Nortje,8,30.2,8,12,6.17,15.58,15.17
Nathan Coulter-Nile,5,20.0,5,7,6.35,18.14,17.14
Moeen Ali,15,25.2,10,6,6.36,26.83,25.33
Ravi Bishnoi,9,36.0,9,12,6.39,19.17,18.00
Sunil Narine,14,56.0,14,16,6.45,22.56,21.00
Shahbaz Ahmed,11,14.0,6,7,6.57,13.14,12.00
Varun Chakaravarthy,17,68.0,17,18,6.59,24.89,22.67
Axar Patel,12,46.0,12,15,6.65,20.40,18.40
Rashid Khan,14,56.0,14,18,6.70,20.83,18.67
Mohammed Siraj,15,52.0,15,11,6.79,32.09,28.36
Yuzvendra Chahal,15,53.0,15,18,7.06,20.78,17.67
Ravindra Jadeja,16,49.0,16,13,7.06,26.62,22.62
Shivam Mavi,9,32.1,9,11,7.24,21.18,17.55
Avesh Khan,16,61.0,16,24,7.38,18.75,15.25
Rahul Chahar,11,43.0,11,13,7.40,24.46,19.85
