PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Harshal Patel,15,56.2,338,32,14.34,459,1,1
Avesh Khan,16,61.0,366,24,18.75,450,0,0
Jasprit Bumrah,14,55.0,330,21,19.52,410,0,0
Shardul Thakur,16,59.5,359,21,25.10,527,0,0
Mohammed Shami,14,52.4,316,19,20.79,395,0,0
Varun Chakaravarthy,17,68.0,408,18,24.89,448,0,0
Rashid Khan,14,56.0,336,18,20.83,375,0,0
Yuzvendra Chahal,15,53.0,318,18,20.78,374,0,0
Arshdeep Singh,12,41.2,248,18,19.00,342,0,1
Sunil Narine,14,56.0,336,16,22.56,361,1,0
Jason Holder,8,31.5,191,16,15.44,247,1,0
Axar Patel,12,46.0,276,15,20.40,306,0,0
Kagiso Rabada,15,56.0,336,15,30.40,456,0,0
Chris Morris,11,41.0,246,15,25.07,376,1,0
Dwayne Bravo,11,33.4,202,14,18.79,263,0,0
