Bowler,MATCHES,OVERS,WKTS,Avg
Shahbaz Ahmed,11,14.0,7,13.14
Harshal Patel,15,56.2,32,14.34
Jason Holder,8,31.5,16,15.44
Anrich Nortje,8,30.2,12,15.58
Andre Russell,10,19.0,11,17.09
Lockie Ferguson,8,30.0,13,17.23
Nathan Coulter-Nile,5,20.0,7,18.14
Amit Mishra,4,14.0,6,18.17
Avesh Khan,16,61.0,24,18.75
Dwayne Bravo,11,33.4,14,18.79
Arshdeep Singh,12,41.2,18,19.00
Ravi Bishnoi,9,36.0,12,19.17
Jasprit Bumrah,14,55.0,21,19.52
Axar Patel,12,46.0,15,20.40
Yuzvendra Chahal,15,53.0,18,20.78
