Bowler,MATCHES,OVERS,WKTS,Avg
Jaydev Unadkat,7,23.5,11,15.91
Noor Ahmad,14,50.0,24,17.00
Josh Hazlewood,12,44.0,22,17.55
Jasprit Bumrah,12,47.2,18,17.56
Vignesh Puthur,5,12.0,6,18.17
Karn Sharma,6,15.0,7,18.29
Eshan Malinga,7,26.4,13,18.31
Harpreet Brar,8,22.0,10,19.00
Prasidh Krishna,15,59.0,25,19.52
Will Jacks,13,14.0,6,20.00
Ravisrinivasan Sai Kishore,15,42.3,19,20.68
Ashwani Kumar,7,20.3,11,21.09
Anshul Kamboj,8,21.3,8,21.50
William ORourke,3,10.2,6,22.00
Krunal Pandya,15,46.0,17,22.29
