Bowler,MATCHES,OVERS,WKTS,SR
William ORourke,3,10.2,6,10.33
Ashwani Kumar,7,20.3,11,11.18
Josh Hazlewood,12,44.0,22,12.00
Vignesh Puthur,5,12.0,6,12.00
Eshan Malinga,7,26.4,13,12.31
Noor Ahmad,14,50.0,24,12.50
Karn Sharma,6,15.0,7,12.86
Jaydev Unadkat,7,23.5,11,13.00
Harpreet Brar,8,22.0,10,13.20
Ravisrinivasan Sai Kishore,15,42.3,19,13.42
Andre Russell,13,18.1,8,13.62
Will Jacks,13,14.0,6,14.00
Romario Shepherd,8,14.0,6,14.00
Prasidh Krishna,15,59.0,25,14.16
Vaibhav Arora,12,42.3,17,15.00
