PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Prasidh Krishna,15,59.0,354,25,19.52,488,1,0
Noor Ahmad,14,50.0,300,24,17.00,408,2,0
Josh Hazlewood,12,44.0,264,22,17.55,386,1,0
Trent Boult,16,57.4,346,22,23.50,517,1,0
Arshdeep Singh,17,58.2,350,21,24.67,518,0,0
Ravisrinivasan Sai Kishore,15,42.3,255,19,20.68,393,0,0
Jasprit Bumrah,12,47.2,284,18,17.56,316,1,0
Varun Chakaravarthy,13,50.0,300,17,22.53,383,0,0
Krunal Pandya,15,46.0,276,17,22.29,379,1,0
Bhuvneshwar Kumar,14,52.0,312,17,28.41,483,0,0
Vaibhav Arora,12,42.3,255,17,25.29,430,0,0
Pat Cummins,14,49.4,298,16,28.13,450,0,0
Marco Jansen,14,47.1,283,16,27.13,434,0,0
Mohammed Siraj,15,57.0,342,16,32.94,527,1,0
Yuzvendra Chahal,14,45.0,270,16,26.88,430,2,0
