Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Jasprit Bumrah,12,47.2,12,18,6.68,17.56,15.78
Kuldeep Yadav,14,51.0,13,15,7.08,24.07,20.40
Jaydev Unadkat,7,23.5,7,11,7.34,15.91,13.00
Varun Chakaravarthy,13,50.0,13,17,7.66,22.53,17.65
Sunil Narine,12,45.0,12,12,7.80,29.25,22.50
Mitchell Santner,13,39.3,13,10,7.92,31.30,23.70
Noor Ahmad,14,50.0,14,24,8.16,17.00,12.50
Krunal Pandya,15,46.0,15,17,8.24,22.29,16.24
Digvesh Singh Rathi,13,52.0,13,14,8.25,30.64,22.29
Prasidh Krishna,15,59.0,15,25,8.27,19.52,14.16
Ravindra Jadeja,14,37.5,14,10,8.56,32.40,22.70
Harpreet Brar,8,22.0,7,10,8.64,19.00,13.20
Josh Hazlewood,12,44.0,12,22,8.77,17.55,12.00
Arshdeep Singh,17,58.2,17,21,8.88,24.67,16.67
Eshan Malinga,7,26.4,7,13,8.92,18.31,12.31
