Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Mitchell Starc,Sunrisers Hyderabad,3.4,35,5,5-35,0,10.29
Hardik Pandya,Lucknow Super Giants,4.0,36,5,5-36,0,9.00
Mohammed Siraj,Sunrisers Hyderabad,4.0,17,4,4-17,0,4.25
Noor Ahmad,Mumbai Indians,4.0,18,4,4-18,0,4.50
Jasprit Bumrah,Lucknow Super Giants,4.0,22,4,4-22,0,5.50
Ashwani Kumar,Kolkata Knight Riders,3.0,24,4,4-24,0,8.00
Trent Boult,Sunrisers Hyderabad,4.0,26,4,4-26,0,6.50
Yuzvendra Chahal,Kolkata Knight Riders,4.0,28,4,4-28,0,7.00
Harshal Patel,Chennai Super Kings,4.0,28,4,4-28,0,7.00
Noor Ahmad,Kolkata Knight Riders,4.0,31,4,4-31,0,7.75
Yuzvendra Chahal,Chennai Super Kings,3.0,32,4,4-32,0,10.67
Josh Hazlewood,Rajasthan Royals,4.0,33,4,4-33,0,8.25
Mukesh Kumar,Lucknow Super Giants,4.0,33,4,4-33,0,8.25
Shardul Thakur,Sunrisers Hyderabad,4.0,34,4,4-34,0,8.50
Wanindu Hasaranga,Chennai Super Kings,4.0,35,4,4-35,0,8.75
