PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Chris Gayle,12,12,608,67.56,183.13,57,44
Virat Kohli,16,16,557,46.42,121.09,55,16
Sachin Tendulkar,16,16,553,42.54,113.32,67,5
Shaun Marsh,14,13,504,42.00,146.51,52,20
Michael Hussey,14,14,492,41.00,118.84,53,6
Paul Valthaty,14,14,463,35.62,136.98,55,20
Suresh Raina,16,16,438,31.29,134.77,36,17
Murali Vijay,16,16,434,27.12,128.02,34,20
Virender Sehwag,11,11,424,38.55,176.67,51,18
Jacques Kallis,15,14,424,35.33,112.17,46,6
Shikhar Dhawan,14,14,400,33.33,129.03,47,7
S Badrinath,16,13,396,56.57,126.52,38,9
Ambati Rayudu,16,16,395,28.21,112.86,44,9
MS Dhoni,16,13,392,43.56,158.70,25,23
Adam Gilchrist,14,14,383,27.36,129.83,41,18
