Batter,MATCHES,INNS,RUNS,6s
Chris Gayle,12,12,608,44
MS Dhoni,16,13,392,23
Shaun Marsh,14,13,504,20
Paul Valthaty,14,14,463,20
Murali Vijay,16,16,434,20
Virender Sehwag,11,11,424,18
Adam Gilchrist,14,14,383,18
Yuvraj Singh,14,13,343,18
Suresh Raina,16,16,438,17
Shane Watson,11,11,330,17
Virat Kohli,16,16,557,16
Brendon McCullum,13,13,357,16
Manoj Tiwary,15,14,359,14
AB de Villiers,16,13,312,14
Ravindra Jadeja,14,12,283,14
