Batter,MATCHES,INNS,RUNS,Avg,SR
Chris Gayle,12,12,608,67.56,183.13
Virender Sehwag,11,11,424,38.55,176.67
MS Dhoni,16,13,392,43.56,158.70
Jesse Ryder,13,13,292,22.46,148.22
Ryan ten Doeschate,6,3,107,53.50,146.58
Shaun Marsh,14,13,504,42.00,146.51
Harbhajan Singh,15,8,103,34.33,145.07
Yusuf Pathan,15,11,283,28.30,140.80
Amit Mishra,14,9,68,17.00,138.78
Aiden Blizzard,6,6,120,20.00,137.93
James Franklin,8,5,107,53.50,137.18
Paul Valthaty,14,14,463,35.62,136.98
Albie Morkel,15,13,138,23.00,135.29
Suresh Raina,16,16,438,31.29,134.77
Yuvraj Singh,14,13,343,34.30,131.42
