Batter,MATCHES,INNS,RUNS,90s,50s,H.S
S Badrinath,16,13,396,0,5,71
Virat Kohli,16,16,557,0,4,71
Shaun Marsh,14,13,504,1,4,95
Michael Hussey,14,14,492,0,4,83
Suresh Raina,16,16,438,0,4,73
Jacques Kallis,15,14,424,0,4,80
Ambati Rayudu,16,16,395,0,4,63
Chris Gayle,12,12,608,0,3,107
Murali Vijay,16,16,434,1,3,95
Rohit Sharma,16,14,372,0,3,87
David Warner,13,13,324,0,3,77
Mahela Jayawardene,13,13,299,0,3,76
Sachin Tendulkar,16,16,553,0,2,100
Paul Valthaty,14,14,463,0,2,120
Virender Sehwag,11,11,424,0,2,119
