Batter,MATCHES,INNS,RUNS,H.S,100s
Chris Gayle,12,12,608,107,2
Sachin Tendulkar,16,16,553,100,1
Paul Valthaty,14,14,463,120,1
Virender Sehwag,11,11,424,119,1
Adam Gilchrist,14,14,383,106,1
