Batter,MATCHES,INNS,RUNS,Avg,NO
Wriddhiman Saha,7,3,68,68.00,2
Chris Gayle,12,12,608,67.56,3
S Badrinath,16,13,396,56.57,6
Ryan ten Doeschate,6,3,107,53.50,1
James Franklin,8,5,107,53.50,3
Manoj Tiwary,15,14,359,51.29,7
Virat Kohli,16,16,557,46.42,4
Johan Botha,10,9,230,46.00,4
MS Dhoni,16,13,392,43.56,4
Sachin Tendulkar,16,16,553,42.54,3
Shaun Marsh,14,13,504,42.00,1
Michael Hussey,14,14,492,41.00,2
James Hopes,10,8,196,39.20,3
Virender Sehwag,11,11,424,38.55,0
Ross Taylor,12,11,181,36.20,6
