Batter,RUNS,Balls,SR,Vs,4s,6s
Paul Valthaty,120,63,190.48,Chennai Super Kings,19,2
Virender Sehwag,119,56,212.50,Deccan Chargers,13,6
Chris Gayle,107,49,218.37,Punjab Kings,10,9
Adam Gilchrist,106,55,192.73,Royal Challengers Bengaluru,8,9
Chris Gayle,102,55,185.45,Kolkata Knight Riders,10,7
Sachin Tendulkar,100,66,151.52,Kochi Tuskers Kerala,12,3
Shaun Marsh,95,46,206.52,Delhi Capitals,9,6
Murali Vijay,95,52,182.69,Royal Challengers Bengaluru,4,6
Shikhar Dhawan,95,57,166.67,Punjab Kings,14,1
Shane Watson,89,47,189.36,Mumbai Indians,9,6
Chris Gayle,89,47,189.36,Mumbai Indians,9,5
Rohit Sharma,87,48,181.25,Chennai Super Kings,8,5
Michael Hussey,83,56,148.21,Royal Challengers Bengaluru,11,1
Brendon McCullum,81,60,135.00,Mumbai Indians,10,2
Virender Sehwag,80,47,170.21,Kochi Tuskers Kerala,8,5
