Bowler,MATCHES,OVERS,WKTS,SR
Amit Mishra,6,20.0,11,10.91
Sohail Tanvir,11,41.1,22,11.23
Umar Gul,6,22.3,12,11.25
Dilhara Fernando,5,20.0,10,12.00
Laxmi Shukla,13,12.0,6,12.00
Farveez Maharoof,10,36.0,15,14.40
Dwayne Bravo,9,28.2,11,15.45
Yo Mahesh,11,42.1,16,15.81
Dhawal Kulkarni,10,29.3,11,16.09
S Sreesanth,15,51.1,19,16.16
Shane Warne,15,52.0,19,16.42
Piyush Chawla,15,46.5,17,16.53
Albie Morkel,13,48.0,17,16.94
Lakshmipathy Balaji,9,33.0,11,18.00
Joginder Sharma,8,24.4,8,18.50
