Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Sohail Tanvir,11,41.1,266,22,1,1
Amit Mishra,6,20.0,138,11,0,1
Lakshmipathy Balaji,9,33.0,286,11,0,1
