Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Sohail Tanvir,11,41.1,11,22,6.46,12.09,11.23
Shaun Pollock,13,46.0,13,11,6.54,27.36,25.09
Irfan Pathan,14,53.0,14,15,6.60,23.33,21.20
Glenn McGrath,14,54.0,14,12,6.61,29.75,27.00
Dale Steyn,10,38.0,10,10,6.63,25.20,22.80
Ashok Dinda,13,39.0,12,9,6.67,28.89,26.00
Amit Mishra,6,20.0,6,11,6.90,12.55,10.91
Makhaya Ntini,9,35.0,9,7,6.91,34.57,30.00
Farveez Maharoof,10,36.0,10,15,6.92,16.60,14.40
Muthiah Muralidaran,15,58.0,15,11,6.97,36.73,31.64
Shane Watson,15,54.1,15,17,7.07,22.53,19.12
Manpreet Gony,16,60.0,16,17,7.38,26.06,21.18
Shahid Afridi,10,30.0,10,9,7.50,25.00,20.00
Munaf Patel,15,55.0,15,14,7.64,30.00,23.57
Pragyan Ojha,13,37.0,12,11,7.68,25.82,20.18
