Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Sohail Tanvir,Chennai Super Kings,4.0,14,6,6-14,0,3.50
Amit Mishra,Deccan Chargers,4.0,17,5,5-17,0,4.25
Lakshmipathy Balaji,Punjab Kings,4.0,24,5,5-24,0,6.00
Shoaib Akhtar,Delhi Capitals,3.0,11,4,4-11,0,3.67
Sohail Tanvir,Mumbai Indians,4.0,14,4,4-14,0,3.50
Dilhara Fernando,Royal Challengers Bengaluru,4.0,18,4,4-18,0,4.50
Makhaya Ntini,Kolkata Knight Riders,4.0,21,4,4-21,0,5.25
Umar Gul,Punjab Kings,4.0,23,4,4-23,0,5.75
Glenn McGrath,Royal Challengers Bengaluru,4.0,29,4,4-29,0,7.25
Albie Morkel,Royal Challengers Bengaluru,4.0,32,4,4-32,0,8.00
Yo Mahesh,Mumbai Indians,4.0,36,4,4-36,0,9.00
Laxmi Shukla,Delhi Capitals,0.5,6,3,3-6,0,12.00
Shane Watson,Delhi Capitals,3.0,10,3,3-10,0,3.33
Sohail Tanvir,Royal Challengers Bengaluru,4.0,10,3,3-10,0,2.50
Shaun Pollock,Kolkata Knight Riders,4.0,12,3,3-12,0,3.00
