PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Sohail Tanvir,11,41.1,247,22,12.09,266,1,1
Shane Warne,15,52.0,312,19,21.26,404,0,0
S Sreesanth,15,51.1,307,19,23.26,442,0,0
Shane Watson,15,54.1,325,17,22.53,383,0,0
Manpreet Gony,16,60.0,360,17,26.06,443,0,0
Piyush Chawla,15,46.5,281,17,22.88,389,0,0
Albie Morkel,13,48.0,288,17,23.47,399,1,0
Yo Mahesh,11,42.1,253,16,23.13,370,1,0
Irfan Pathan,14,53.0,318,15,23.33,350,0,0
Farveez Maharoof,10,36.0,216,15,16.60,249,0,0
RP Singh,14,51.2,308,15,29.47,442,0,0
Munaf Patel,15,55.0,330,14,30.00,420,0,0
Siddharth Trivedi,15,48.0,288,13,30.69,399,0,0
Zaheer Khan,11,42.0,252,13,27.46,357,0,0
Glenn McGrath,14,54.0,324,12,29.75,357,1,0
