Bowler,MATCHES,OVERS,WKTS,Avg
Sohail Tanvir,11,41.1,22,12.09
Amit Mishra,6,20.0,11,12.55
Umar Gul,6,22.3,12,15.33
Dilhara Fernando,5,20.0,10,16.00
Farveez Maharoof,10,36.0,15,16.60
Laxmi Shukla,13,12.0,6,20.67
Dwayne Bravo,9,28.2,11,21.09
Shane Warne,15,52.0,19,21.26
Sourav Ganguly,13,20.0,6,21.33
Dhawal Kulkarni,10,29.3,11,21.45
Shane Watson,15,54.1,17,22.53
Piyush Chawla,15,46.5,17,22.88
Yo Mahesh,11,42.1,16,23.13
S Sreesanth,15,51.1,19,23.26
Irfan Pathan,14,53.0,15,23.33
