Batter,MATCHES,INNS,RUNS,90s,50s,H.S
David Warner,17,17,848,3,9,93
Virat Kohli,16,16,973,0,7,113
AB de Villiers,16,16,687,0,6,129
Ajinkya Rahane,14,14,480,0,6,74
Gautam Gambhir,15,15,501,1,5,90
Rohit Sharma,14,14,489,0,5,85
Murali Vijay,14,14,453,0,5,89
Aaron Finch,13,12,393,0,5,74
Shikhar Dhawan,17,17,501,0,4,82
KL Rahul,14,12,397,0,4,68
Quinton de Kock,13,13,445,0,3,108
Suresh Raina,15,15,399,0,3,75
Robin Uthappa,15,15,394,0,3,72
Yusuf Pathan,15,13,361,0,3,63
Karun Nair,14,12,357,0,3,83
