Batter,MATCHES,INNS,RUNS,Avg,NO
Virat Kohli,16,16,973,81.08,4
Yusuf Pathan,15,13,361,72.20,8
Chris Morris,12,7,195,65.00,4
David Warner,17,17,848,60.57,3
AB de Villiers,16,16,687,52.85,3
Steven Smith,8,7,270,45.00,1
Rohit Sharma,14,14,489,44.45,3
KL Rahul,14,12,397,44.11,3
Ajinkya Rahane,14,14,480,43.64,3
MS Dhoni,14,12,284,40.57,5
Krunal Pandya,12,9,237,39.50,3
Aaron Finch,13,12,393,39.30,2
Shikhar Dhawan,17,17,501,38.54,4
Gautam Gambhir,15,15,501,38.54,2
Jean-Paul Duminy,10,8,191,38.20,3
