Batter,MATCHES,INNS,RUNS,6s
Virat Kohli,16,16,973,38
AB de Villiers,16,16,687,37
David Warner,17,17,848,31
Chris Gayle,10,10,227,21
Rohit Sharma,14,14,489,16
KL Rahul,14,12,397,16
Brendon McCullum,16,16,354,16
Dwayne Smith,12,12,324,16
Kieron Pollard,13,12,207,16
Andre Russell,12,8,188,15
MS Dhoni,14,12,284,14
Quinton de Kock,13,13,445,13
Yusuf Pathan,15,13,361,13
Krunal Pandya,12,9,237,13
Yuvraj Singh,10,10,236,13
