PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Virat Kohli,16,16,973,81.08,152.03,83,38
David Warner,17,17,848,60.57,151.43,88,31
AB de Villiers,16,16,687,52.85,168.80,57,37
Gautam Gambhir,15,15,501,38.54,121.90,54,6
Shikhar Dhawan,17,17,501,38.54,116.78,51,8
Rohit Sharma,14,14,489,44.45,132.88,49,16
Ajinkya Rahane,14,14,480,43.64,126.65,54,9
Murali Vijay,14,14,453,34.85,124.45,50,10
Quinton de Kock,13,13,445,37.08,136.09,52,13
Suresh Raina,15,15,399,28.50,127.88,39,10
KL Rahul,14,12,397,44.11,146.49,37,16
Robin Uthappa,15,15,394,26.27,136.33,45,8
Aaron Finch,13,12,393,39.30,131.44,45,11
Yusuf Pathan,15,13,361,72.20,145.56,33,13
Karun Nair,14,12,357,35.70,120.20,40,6
