Batter,RUNS,Balls,SR,Vs,4s,6s
AB de Villiers,129,52,248.08,Gujarat Lions,10,12
Virat Kohli,113,50,226.00,Punjab Kings,12,8
Virat Kohli,109,55,198.18,Gujarat Lions,5,8
Quinton de Kock,108,51,211.76,Royal Challengers Bengaluru,15,3
Virat Kohli,108,58,186.21,Rising Pune Supergiant,8,7
Steven Smith,101,54,187.04,Gujarat Lions,8,5
Virat Kohli,100,63,158.73,Gujarat Lions,11,1
Hashim Amla,96,56,171.43,Sunrisers Hyderabad,14,2
David Warner,93,58,160.34,Gujarat Lions,11,3
David Warner,92,50,184.00,Royal Challengers Bengaluru,9,5
David Warner,90,59,152.54,Mumbai Indians,7,4
Gautam Gambhir,90,60,150.00,Sunrisers Hyderabad,13,1
Murali Vijay,89,57,156.14,Royal Challengers Bengaluru,12,1
Krunal Pandya,86,37,232.43,Delhi Capitals,7,6
Rohit Sharma,85,60,141.67,Rising Pune Supergiant,8,3
