Batter,MATCHES,INNS,RUNS,Avg,SR
Carlos Brathwaite,8,6,83,13.83,218.42
Sarfaraz Khan,5,4,66,33.00,212.90
Bipul Sharma,7,4,51,25.50,204.00
Ben Cutting,4,4,65,32.50,191.18
Krunal Pandya,12,9,237,39.50,191.13
Chris Morris,12,7,195,65.00,178.90
AB de Villiers,16,16,687,52.85,168.80
Andre Russell,12,8,188,26.86,164.91
Stuart Binny,14,6,63,15.75,161.54
Thisara Perera,12,10,150,21.43,161.29
Steven Smith,8,7,270,45.00,153.41
Virat Kohli,16,16,973,81.08,152.03
David Warner,17,17,848,60.57,151.43
Chris Gayle,10,10,227,22.70,151.33
Sachin Baby,11,6,119,29.75,150.63
