Batter,MATCHES,INNS,RUNS,4s
David Warner,17,17,848,88
Virat Kohli,16,16,973,83
AB de Villiers,16,16,687,57
Gautam Gambhir,15,15,501,54
Ajinkya Rahane,14,14,480,54
Quinton de Kock,13,13,445,52
Shikhar Dhawan,17,17,501,51
Murali Vijay,14,14,453,50
Rohit Sharma,14,14,489,49
Robin Uthappa,15,15,394,45
Aaron Finch,13,12,393,45
Karun Nair,14,12,357,40
Suresh Raina,15,15,399,39
Brendon McCullum,16,16,354,38
Dinesh Karthik,16,15,335,38
