Batter,MATCHES,INNS,RUNS,Avg,NO
Jean-Paul Duminy,9,9,244,81.33,6
Chris Gayle,15,14,733,61.08,2
Kevin Pietersen,8,8,305,61.00,3
Dwayne Bravo,19,16,371,46.38,8
Cameron White,13,13,479,43.55,2
Shane Watson,7,7,255,42.50,1
Debabrata Das,15,10,126,42.00,7
Shikhar Dhawan,15,15,569,40.64,1
Herschelle Gibbs,3,3,81,40.50,1
Steven Smith,15,14,362,40.22,5
Ajinkya Rahane,16,16,560,40.00,2
AB de Villiers,16,13,319,39.88,5
Dwayne Smith,7,6,157,39.25,2
Owais Shah,13,13,340,37.78,4
Ambati Rayudu,17,15,333,37.00,6
