Batter,RUNS,Balls,SR,Vs,4s,6s
Chris Gayle,128,62,206.45,Delhi Capitals,7,13
Murali Vijay,113,58,194.83,Delhi Capitals,15,4
David Warner,109,54,201.85,Deccan Chargers,10,7
Rohit Sharma,109,60,181.67,Kolkata Knight Riders,12,5
Ajinkya Rahane,103,60,171.67,Royal Challengers Bengaluru,12,5
Kevin Pietersen,103,64,160.94,Deccan Chargers,6,9
Ajinkya Rahane,98,66,148.48,Punjab Kings,16,1
Gautam Gambhir,93,51,182.35,Royal Challengers Bengaluru,9,5
Shane Watson,90,51,176.47,Pune Warriors,10,4
Manvinder Bisla,89,48,185.42,Chennai Super Kings,8,5
Virender Sehwag,87,48,181.25,Pune Warriors,10,3
Chris Gayle,87,56,155.36,Punjab Kings,8,4
Dwayne Smith,87,58,150.00,Rajasthan Royals,10,3
Jesse Ryder,86,58,148.28,Delhi Capitals,7,4
Chris Gayle,86,58,148.28,Kolkata Knight Riders,7,6
