Batter,MATCHES,INNS,RUNS,H.S,100s
Chris Gayle,15,14,733,128,1
Ajinkya Rahane,16,16,560,103,1
Rohit Sharma,17,16,433,109,1
Murali Vijay,14,14,336,113,1
Kevin Pietersen,8,8,305,103,1
David Warner,8,8,256,109,1
