Batter,MATCHES,INNS,RUNS,6s
Chris Gayle,15,14,733,59
Cameron White,13,13,479,20
Dwayne Bravo,19,16,371,20
Kevin Pietersen,8,8,305,20
Virender Sehwag,16,16,495,19
Suresh Raina,19,18,441,19
Shikhar Dhawan,15,15,569,18
Rohit Sharma,17,16,433,18
Gautam Gambhir,17,17,590,17
Faf du Plessis,13,12,398,17
David Hussey,16,15,396,17
Owais Shah,13,13,340,16
AB de Villiers,16,13,319,15
Mayank Agarwal,16,12,225,15
Steven Smith,15,14,362,14
