Batter,MATCHES,INNS,RUNS,Avg,SR
Gurkeerat Singh Mann,5,4,86,28.67,165.38
David Warner,8,8,256,36.57,164.10
Virender Sehwag,16,16,495,33.00,161.24
AB de Villiers,16,13,319,39.88,161.11
Chris Gayle,15,14,733,61.08,160.75
Dwayne Smith,7,6,157,39.25,160.20
Albie Morkel,16,12,107,15.29,157.35
Bipul Sharma,5,4,72,24.00,153.19
Shane Watson,7,7,255,42.50,151.79
Cameron White,13,13,479,43.55,149.69
Kevin Pietersen,8,8,305,61.00,147.34
Gautam Gambhir,17,17,590,36.88,143.55
Mayank Agarwal,16,12,225,20.45,142.41
Dwayne Bravo,19,16,371,46.38,140.53
Brad Hodge,12,12,245,30.62,140.00
