Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Chris Gayle,15,14,733,0,7,128
Gautam Gambhir,17,17,590,1,6,93
Shikhar Dhawan,15,15,569,0,5,84
Virender Sehwag,16,16,495,0,5,87
Cameron White,13,13,479,0,5,78
Ajinkya Rahane,16,16,560,1,3,103
Rohit Sharma,17,16,433,0,3,109
Faf du Plessis,13,12,398,0,3,73
Owais Shah,13,13,340,0,3,76
Mahela Jayawardene,16,15,335,0,3,56
AB de Villiers,16,13,319,0,3,64
Tillakaratne Dilshan,10,9,285,0,3,76
Rahul Dravid,16,16,462,0,2,58
Mandeep Singh,16,16,432,0,2,75
Jacques Kallis,17,17,409,0,2,79
