PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Chris Gayle,15,14,733,61.08,160.75,46,59
Gautam Gambhir,17,17,590,36.88,143.55,64,17
Shikhar Dhawan,15,15,569,40.64,129.61,58,18
Ajinkya Rahane,16,16,560,40.00,129.33,73,10
Virender Sehwag,16,16,495,33.00,161.24,57,19
Cameron White,13,13,479,43.55,149.69,41,20
Rahul Dravid,16,16,462,28.88,112.14,63,4
Suresh Raina,19,18,441,25.94,135.69,36,19
Rohit Sharma,17,16,433,30.93,126.61,39,18
Mandeep Singh,16,16,432,27.00,126.32,53,7
Jacques Kallis,17,17,409,25.56,106.51,34,10
Robin Uthappa,16,16,405,27.00,118.08,38,10
Faf du Plessis,13,12,398,33.17,130.92,29,17
David Hussey,16,15,396,33.00,129.84,28,17
Dwayne Bravo,19,16,371,46.38,140.53,20,20
