Batter,MATCHES,INNS,RUNS,4s
Ajinkya Rahane,16,16,560,73
Gautam Gambhir,17,17,590,64
Rahul Dravid,16,16,462,63
Shikhar Dhawan,15,15,569,58
Virender Sehwag,16,16,495,57
Mandeep Singh,16,16,432,53
Chris Gayle,15,14,733,46
Cameron White,13,13,479,41
Rohit Sharma,17,16,433,39
Shaun Marsh,13,13,336,39
Murali Vijay,14,14,336,39
Mahela Jayawardene,16,15,335,39
Sachin Tendulkar,13,13,324,39
Robin Uthappa,16,16,405,38
Brendon McCullum,12,12,289,37
