Batter,MATCHES,INNS,RUNS,H.S,100s
Sai Sudharsan,15,15,759,108,1
Mitchell Marsh,13,13,627,117,1
KL Rahul,13,13,539,112,1
Heinrich Klaasen,14,13,487,105,1
Priyansh Arya,17,17,475,103,1
Abhishek Sharma,14,13,439,141,1
Ishan Kishan,14,13,354,106,1
Rishabh Pant,14,13,269,118,1
Vaibhav Sooryavanshi,7,7,252,101,1
