Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Virat Kohli,15,15,657,0,8,73
Sai Sudharsan,15,15,759,0,6,108
Shubman Gill,15,15,650,2,6,93
Mitchell Marsh,13,13,627,0,6,117
Shreyas Iyer,17,17,604,1,6,97
Yashasvi Jaiswal,14,14,559,0,6,75
Suryakumar Yadav,16,16,717,0,5,73
Jos Buttler,14,13,538,1,5,97
Nicholas Pooran,14,14,524,0,5,87
Aiden Markram,13,13,445,0,5,66
Prabhsimran Singh,17,17,549,1,4,91
Rohit Sharma,15,15,418,0,4,81
Philip Salt,13,13,403,0,4,65
KL Rahul,13,13,539,1,3,112
Ajinkya Rahane,13,12,390,0,3,61
