PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Sai Sudharsan,15,15,759,54.21,156.17,88,21
Suryakumar Yadav,16,16,717,65.18,167.92,69,38
Virat Kohli,15,15,657,54.75,144.71,66,19
Shubman Gill,15,15,650,50.00,155.88,62,24
Mitchell Marsh,13,13,627,48.23,163.71,56,37
Shreyas Iyer,17,17,604,50.33,175.07,43,39
Yashasvi Jaiswal,14,14,559,43.00,159.71,60,28
Prabhsimran Singh,17,17,549,32.29,160.53,56,30
KL Rahul,13,13,539,53.90,149.72,52,21
Jos Buttler,14,13,538,59.78,163.03,52,24
Nicholas Pooran,14,14,524,43.67,196.25,45,40
Heinrich Klaasen,14,13,487,44.27,172.70,42,25
Priyansh Arya,17,17,475,27.94,179.25,55,25
Aiden Markram,13,13,445,34.23,148.83,38,22
Abhishek Sharma,14,13,439,33.77,193.39,46,28
