Batter,MATCHES,INNS,RUNS,Avg,SR
Romario Shepherd,8,3,70,35.00,291.67
Urvil Patel,3,3,68,22.67,212.50
Vaibhav Sooryavanshi,7,7,252,36.00,206.56
Nicholas Pooran,14,14,524,43.67,196.25
Abhishek Sharma,14,13,439,33.77,193.39
Ayush Mhatre,7,7,240,34.29,188.98
Marcus Stoinis,13,11,160,26.67,186.05
Tim David,12,9,187,62.33,185.15
Jonny Bairstow,2,2,85,42.50,184.78
Naman Dhir,16,12,252,31.50,182.61
Dewald Brevis,6,6,225,37.50,180.00
Vipraj Nigam,14,8,142,20.29,179.75
Priyansh Arya,17,17,475,27.94,179.25
Shahrukh Khan,15,11,179,29.83,179.00
Jitesh Sharma,15,11,261,37.29,176.35
