Batter,MATCHES,INNS,RUNS,4s
Sai Sudharsan,15,15,759,88
Suryakumar Yadav,16,16,717,69
Virat Kohli,15,15,657,66
Shubman Gill,15,15,650,62
Yashasvi Jaiswal,14,14,559,60
Mitchell Marsh,13,13,627,56
Prabhsimran Singh,17,17,549,56
Priyansh Arya,17,17,475,55
KL Rahul,13,13,539,52
Jos Buttler,14,13,538,52
Travis Head,13,12,374,50
Philip Salt,13,13,403,48
Ryan Rickelton,14,14,388,47
Abhishek Sharma,14,13,439,46
Nicholas Pooran,14,14,524,45
