Batter,MATCHES,INNS,RUNS,Avg,NO
Suryakumar Yadav,16,16,717,65.18,5
Tim David,12,9,187,62.33,6
Jos Buttler,14,13,538,59.78,4
Virat Kohli,15,15,657,54.75,3
Sai Sudharsan,15,15,759,54.21,1
KL Rahul,13,13,539,53.90,3
Shreyas Iyer,17,17,604,50.33,5
Shubman Gill,15,15,650,50.00,2
Tristan Stubbs,14,13,300,50.00,7
Shashank Singh,17,14,350,50.00,7
Mitchell Marsh,13,13,627,48.23,0
Manish Pandey,3,3,92,46.00,1
Heinrich Klaasen,14,13,487,44.27,2
Nicholas Pooran,14,14,524,43.67,2
Yashasvi Jaiswal,14,14,559,43.00,1
