Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Michael Hussey,17,17,733,1,6,95
Virat Kohli,16,16,634,2,6,99
Chris Gayle,16,16,708,1,4,175
Suresh Raina,18,17,548,1,4,100
Rohit Sharma,19,19,538,0,4,79
Ajinkya Rahane,18,18,488,0,4,68
Rahul Dravid,18,17,471,0,4,65
MS Dhoni,18,16,461,0,4,67
Aaron Finch,14,14,456,0,4,67
Dwayne Smith,13,13,418,0,4,68
David Warner,16,16,410,0,4,77
Gautam Gambhir,16,16,407,0,4,60
Kieron Pollard,18,18,420,0,3,66
David Miller,12,12,418,0,3,101
Shikhar Dhawan,10,10,311,0,3,73
