Batter,MATCHES,INNS,RUNS,Avg,SR
Morne Morkel,10,6,57,11.40,196.55
Luke Wright,6,6,106,21.20,176.67
David Miller,12,12,418,59.71,164.57
AB de Villiers,14,14,360,36.00,164.38
MS Dhoni,18,16,461,41.91,162.90
Vinay Kumar,16,5,70,70.00,159.09
Chris Gayle,16,16,708,59.00,156.29
Suresh Raina,18,17,548,42.15,150.14
Kieron Pollard,18,18,420,42.00,149.47
Ravindra Jadeja,18,14,201,25.12,148.89
Stuart Binny,17,16,293,32.56,147.24
Dale Steyn,17,8,53,26.50,147.22
Harbhajan Singh,19,14,116,19.33,146.84
Aditya Tare,5,5,123,24.60,146.43
Thisara Perera,16,14,233,23.30,142.94
