Batter,MATCHES,INNS,RUNS,6s
Chris Gayle,16,16,708,51
Kieron Pollard,18,18,420,29
Rohit Sharma,19,19,538,28
MS Dhoni,18,16,461,25
David Miller,12,12,418,24
Virat Kohli,16,16,634,22
Shane Watson,16,16,543,22
Dwayne Smith,13,13,418,19
Suresh Raina,18,17,548,18
Michael Hussey,17,17,733,17
Aaron Finch,14,14,456,16
AB de Villiers,14,14,360,15
Yuvraj Singh,13,13,238,15
Dinesh Karthik,19,19,510,14
David Warner,16,16,410,14
