Batter,MATCHES,INNS,RUNS,90s
Virat Kohli,16,16,634,2
Michael Hussey,17,17,733,1
Chris Gayle,16,16,708,1
Suresh Raina,18,17,548,1
Shane Watson,16,16,543,1
Virender Sehwag,13,13,295,1
Manvinder Bisla,14,14,255,1
